
> max-stoich@1.0.0-rc.1 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.7.253:3000
- Environments: .env.local
✓ Ready in 378ms

 GET /recipes 200 in 589ms (next.js: 80ms, proxy.ts: 36ms, application-code: 473ms)
 GET /workspace 200 in 401ms (next.js: 33ms, proxy.ts: 54ms, application-code: 314ms)
 GET /workspace 200 in 565ms (next.js: 39ms, proxy.ts: 23ms, application-code: 503ms)
 GET /compare 200 in 292ms (next.js: 38ms, proxy.ts: 35ms, application-code: 219ms)
 GET /compare 200 in 283ms (next.js: 93ms, proxy.ts: 32ms, application-code: 158ms)
 GET / 200 in 580ms (next.js: 79ms, proxy.ts: 90ms, application-code: 411ms)
 GET /workspace 200 in 430ms (next.js: 52ms, proxy.ts: 33ms, application-code: 346ms)
 GET /compare 200 in 195ms (next.js: 24ms, proxy.ts: 17ms, application-code: 154ms)
 GET /compare 200 in 302ms (next.js: 42ms, proxy.ts: 46ms, application-code: 215ms)
 GET /workspace 200 in 369ms (next.js: 68ms, proxy.ts: 39ms, application-code: 262ms)
 GET /print?job=bffbc513-55d1-4ddc-aec9-777f7d1fe6c4 200 in 381ms (next.js: 79ms, proxy.ts: 64ms, application-code: 238ms)
 GET /workspace 200 in 439ms (next.js: 26ms, proxy.ts: 28ms, application-code: 385ms)
 GET /workspace 200 in 298ms (next.js: 31ms, proxy.ts: 31ms, application-code: 236ms)
 GET /workspace 200 in 237ms (next.js: 19ms, proxy.ts: 43ms, application-code: 174ms)
 GET /compare 200 in 482ms (next.js: 24ms, proxy.ts: 22ms, application-code: 436ms)
 GET / 200 in 580ms (next.js: 56ms, proxy.ts: 33ms, application-code: 491ms)
 GET /workspace 200 in 573ms (next.js: 122ms, proxy.ts: 24ms, application-code: 427ms)
 GET /workspace 200 in 232ms (next.js: 17ms, proxy.ts: 25ms, application-code: 189ms)
 GET /compare 200 in 208ms (next.js: 37ms, proxy.ts: 28ms, application-code: 143ms)
 GET /workspace 200 in 711ms (next.js: 15ms, proxy.ts: 10ms, application-code: 687ms)
 GET /demo 200 in 403ms (next.js: 69ms, proxy.ts: 101ms, application-code: 232ms)
 GET /workspace 200 in 766ms (next.js: 33ms, proxy.ts: 158ms, application-code: 575ms)
 GET /workspace 200 in 689ms (next.js: 89ms, proxy.ts: 78ms, application-code: 521ms)
 GET /workspace 200 in 638ms (next.js: 109ms, proxy.ts: 76ms, application-code: 452ms)
 GET /workspace 200 in 584ms (next.js: 43ms, proxy.ts: 160ms, application-code: 380ms)
 GET /workspace 200 in 453ms (next.js: 79ms, proxy.ts: 63ms, application-code: 311ms)
 GET /workspace 200 in 420ms (next.js: 44ms, proxy.ts: 62ms, application-code: 314ms)
 GET /workspace 200 in 552ms (next.js: 30ms, proxy.ts: 36ms, application-code: 486ms)
 GET /workspace 200 in 245ms (next.js: 34ms, proxy.ts: 26ms, application-code: 185ms)
 GET /workspace 200 in 381ms (next.js: 51ms, proxy.ts: 26ms, application-code: 304ms)
 GET /workspace 200 in 281ms (next.js: 22ms, proxy.ts: 32ms, application-code: 227ms)
 GET /workspace 200 in 286ms (next.js: 17ms, proxy.ts: 23ms, application-code: 246ms)
 GET /workspace 200 in 621ms (next.js: 19ms, proxy.ts: 12ms, application-code: 590ms)
 GET /workspace 200 in 544ms (next.js: 17ms, proxy.ts: 91ms, application-code: 436ms)
 GET /workspace 200 in 551ms (next.js: 73ms, proxy.ts: 89ms, application-code: 389ms)
 GET /workspace 200 in 332ms (next.js: 23ms, proxy.ts: 79ms, application-code: 230ms)
 GET /workspace 200 in 333ms (next.js: 49ms, proxy.ts: 80ms, application-code: 205ms)
 GET /print?job=265f1ffe-6ece-46e1-b795-7d73c0b8c227 200 in 57ms (next.js: 6ms, proxy.ts: 5ms, application-code: 47ms)
 GET /workspace 200 in 83ms (next.js: 7ms, proxy.ts: 7ms, application-code: 70ms)
✓ Compiled in 495ms
 GET /emi 200 in 621ms (next.js: 174ms, proxy.ts: 72ms, application-code: 376ms)
 GET /emi 200 in 256ms (next.js: 156ms, proxy.ts: 6ms, application-code: 95ms)
 GET /emi 200 in 39ms (next.js: 4ms, proxy.ts: 13ms, application-code: 21ms)
 GET /emi 200 in 261ms (next.js: 6ms, proxy.ts: 5ms, application-code: 251ms)
✓ Compiled in 74ms
 GET /emi 200 in 164ms (next.js: 78ms, proxy.ts: 47ms, application-code: 40ms)
✓ Compiled in 86ms
 GET /emi 200 in 157ms (next.js: 75ms, proxy.ts: 50ms, application-code: 33ms)
✓ Compiled in 86ms
 GET /emi 200 in 163ms (next.js: 79ms, proxy.ts: 51ms, application-code: 33ms)
✓ Compiled in 76ms
 GET /emi 200 in 214ms (next.js: 120ms, proxy.ts: 61ms, application-code: 33ms)
✓ Compiled in 115ms
 GET /emi 200 in 236ms (next.js: 97ms, proxy.ts: 62ms, application-code: 77ms)
 GET /emi 200 in 37ms (next.js: 7ms, proxy.ts: 5ms, application-code: 25ms)
✓ Compiled in 75ms
 GET /emi 200 in 175ms (next.js: 79ms, proxy.ts: 51ms, application-code: 44ms)
✓ Compiled in 94ms
 GET /emi 200 in 212ms (next.js: 107ms, proxy.ts: 62ms, application-code: 43ms)
✓ Compiled in 72ms
 GET /emi 200 in 198ms (next.js: 114ms, proxy.ts: 52ms, application-code: 32ms)
✓ Compiled in 77ms
 GET /emi 200 in 162ms (next.js: 80ms, proxy.ts: 47ms, application-code: 35ms)
✓ Compiled in 78ms
 GET /emi 200 in 190ms (next.js: 97ms, proxy.ts: 48ms, application-code: 45ms)
✓ Compiled in 554ms
 GET /emi 200 in 243ms (next.js: 175ms, proxy.ts: 7ms, application-code: 61ms)
 GET /emi 200 in 428ms (next.js: 86ms, proxy.ts: 54ms, application-code: 288ms)
 GET /emi 200 in 392ms (next.js: 8ms, proxy.ts: 120ms, application-code: 264ms)
✓ Compiled in 89ms
 GET /emi 200 in 164ms (next.js: 82ms, proxy.ts: 51ms, application-code: 31ms)
✓ Compiled in 68ms
 GET /emi 200 in 169ms (next.js: 82ms, proxy.ts: 55ms, application-code: 32ms)
✓ Compiled in 68ms
 GET /emi 200 in 174ms (next.js: 91ms, proxy.ts: 51ms, application-code: 32ms)
✓ Compiled in 174ms
✓ Compiled in 106ms
 GET /emi 200 in 266ms (next.js: 145ms, proxy.ts: 56ms, application-code: 65ms)
 GET /emi 200 in 31ms (next.js: 5ms, proxy.ts: 5ms, application-code: 22ms)
✓ Compiled in 73ms
 GET /emi 200 in 176ms (next.js: 87ms, proxy.ts: 59ms, application-code: 30ms)
✓ Compiled in 85ms
 GET /emi 200 in 194ms (next.js: 116ms, proxy.ts: 47ms, application-code: 30ms)
 GET / 200 in 339ms (next.js: 108ms, proxy.ts: 3ms, application-code: 228ms)
